PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20240417;04;2024;7742096;1;2;1;70;;1;224.8094751;05;1;;;;;;;;;1;60;0;3;1;10;2;2;;2;;.;4120;01;0125;
20240417;04;2024;7742096;1;3;1;70;;1;224.8094751;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240416;04;2024;7742102;1;1;1;70;;1;160.40707023;05;1;;;;;;;;;1;290;0;5;1;10;2;3;;2;;.;7233;13;1312;
20240416;04;2024;7742102;1;2;1;70;;1;160.40707023;05;1;;;;;;;;;1;700;0;3;1;2;2;2;;2;;.;5223;47;4719;
20240416;04;2024;7742103;1;1;1;70;;1;105.38591922;05;1;;;;;;;;;1;48;0;8;4;1;2;2;;2;;.;7111;41;4111;
20240416;04;2024;7742103;1;2;1;70;;1;105.38591922;05;1;;;;;;;;;1;36;0;4;1;5;2;2;;2;;.;9313;41;4111;
20240416;04;2024;7742106;1;2;1;70;;1;240.7858617;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742110;1;1;1;70;05;1;1299.6818026;05;1;;;;;;;;;1;10;0;5;2;10;2;3;;2;;.;2330;85;8530;
20240414;04;2024;7742110;1;2;1;70;05;1;1299.6818026;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742111;1;3;1;70;05;1;1273.9960395;05;;1;1;2;1;;;47;1500000;1;0;2;1;1;7;2;2;;1;800000;5120;5131;55;5511;
20240414;04;2024;7742112;1;1;1;70;05;1;1488.1845647;05;1;;;;;;;;;1;480;0;6;1;10;2;2;;2;;.;7233;28;2821;
20240414;04;2024;7742123;1;1;1;70;05;1;916.71343345;05;1;;;;;;;;;1;144;5;5;1;9;2;3;;2;;.;2521;64;6412;
20240414;04;2024;7742123;1;2;1;70;05;1;916.71343345;05;1;;;;;;;;;1;120;5;4;1;10;2;2;;2;;.;5243;94;9411;
20240414;04;2024;7742123;1;3;1;70;05;1;916.71343345;05;1;;;;;;;;;1;5;5;3;1;8;2;2;;2;;.;9510;60;6010;
20240414;04;2024;7742124;1;2;1;70;05;1;1063.1763007;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742125;1;2;1;70;05;1;961.96575887;05;;2;1;40;1;;;46;1600000;1;12;0;1;1;5;2;2;;2;;3343;3343;46;4641;
20240414;04;2024;7742126;1;2;1;70;05;1;991.13246797;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742126;1;3;1;70;05;1;991.13246797;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742127;1;2;1;70;05;1;1063.1763007;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742129;1;1;1;70;05;1;1004.0904137;05;1;;;;;;;;;1;36;0;5;1;10;2;2;;2;;.;3322;64;6412;
20240414;04;2024;7742130;1;2;1;70;05;1;891.91298658;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742131;1;3;1;70;05;1;873.41950797;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742132;1;1;1;70;05;1;873.58850153;05;1;;;;;;;;;1;4;0;9;1;8;2;2;;2;;.;9112;85;8530;
20240414;04;2024;7742132;1;2;1;70;05;1;873.58850153;05;1;;;;;;;;;1;120;0;4;1;2;2;2;;2;;.;8323;53;5320;
20240414;04;2024;7742132;1;3;1;70;05;1;873.58850153;05;1;;;;;;;;;1;0;3;8;4;1;2;2;;1;400000;.;2659;90;9008;
20240414;04;2024;7742133;1;2;1;70;05;1;1004.0928754;05;1;;;;;;;;;1;24;1;6;1;10;2;2;;2;;.;5230;47;4711;
20240414;04;2024;7742133;1;3;1;70;05;1;1004.0928754;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742135;1;1;1;70;05;1;899.77970952;05;;1;1;12;1;;;48;2000000;1;4;1;8;1;3;2;2;;2;;7111;7111;41;4111;
20240414;04;2024;7742137;1;1;1;70;05;1;1299.6818026;05;1;;;;;;;;;1;120;0;5;2;10;2;2;;2;;.;2330;85;8530;
20240414;04;2024;7742137;1;2;1;70;05;1;1299.6818026;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742138;1;2;1;70;05;1;1663.9279591;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742139;1;3;1;70;05;1;1677.0718438;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742140;1;1;1;70;05;1;1410.8054721;05;1;;;;;;;;;1;36;0;4;1;3;2;2;;2;;.;9621;56;5611;
20240414;04;2024;7742141;1;1;1;70;05;1;1611.2728615;05;1;;;;;;;;;1;168;2;3;3;1;2;2;;2;;.;9111;97;9700;
20240414;04;2024;7742142;1;1;1;70;05;1;1134.4439648;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742142;1;2;1;70;05;1;1134.4439648;05;1;;;;;;;;;1;3;0;2;1;3;2;2;;2;;.;5223;47;4759;
20240414;04;2024;7742144;1;2;1;70;05;1;1273.9960395;05;;2;1;36;1;;;48;1500000;1;36;5;1;1;10;2;1;2;2;;5223;3341;47;4711;
20240414;04;2024;7742151;1;2;1;70;05;1;1204.449171;05;1;;;;;;;;;1;60;0;3;1;8;2;2;;2;;.;4222;60;6010;
20240414;04;2024;7742152;1;2;1;70;05;1;1074.484804;05;;1;1;12;1;;;47;1300000;1;0;2;8;4;1;2;2;;1;150000;5120;5120;56;5619;
20240414;04;2024;7742153;1;1;1;70;05;1;1159.4868825;05;1;;;;;;;;;1;192;0;5;2;10;2;3;;2;;.;2341;85;8530;
20240414;04;2024;7742153;1;2;1;70;05;1;1159.4868825;05;;1;1;2;1;;;48;1300000;1;72;0;6;1;7;2;2;;2;;5223;4222;82;8220;
20240414;04;2024;7742156;1;1;1;70;05;1;1157.7330751;05;;1;1;8;1;;;48;1300000;1;2;0;8;1;10;2;2;;2;;9112;9112;93;9311;
20240414;04;2024;7742156;1;2;1;70;05;1;1157.7330751;05;;2;1;32;1;;;48;1300000;1;5;2;8;1;4;2;2;;2;;9112;9411;56;5619;
20240414;04;2024;7742161;1;2;1;70;05;1;1461.8674134;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742163;1;2;1;70;05;1;1782.1563033;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240414;04;2024;7742166;1;1;1;70;05;1;1449.3586032;05;1;;;;;;;;;1;240;0;6;1;10;2;2;;2;;.;5230;47;4711;
20240414;04;2024;7742168;1;1;1;70;05;1;1462.142028;05;1;;;;;;;;;1;72;1;5;1;2;2;3;;2;;.;8332;49;4923;
