PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20240417;04;2024;7742093;1;1;1;60;;1;205.66805303;05;1;9602;2;;;;;;;;;;;;324;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;1100000;1100000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;900000;1;;3;;3;2;12;45;;;45;;;;1;1;;3;;1;1;2;15;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;5;1;900000;96;9602;5141
20240417;04;2024;7742094;1;1;1;60;;1;212.38082089;05;1;4711;1;1;;;1;;1;;2;2;2;2;36;1;;1;1;2;1;1;2;1000000;2;;2;;;2;;2;;2;;1;800000;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;66;;;66;;;;2;7;;1;;2;;;;1;2;1;24;18;1;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;15;8;1;1000000;47;4711;5223
20240417;04;2024;7742095;1;1;1;60;;1;228.39162235;05;1;9312;1;2;1;;1;;1;;1;2;1;1;240;1;;1;1;1;1;1;2;1350000;2;;1;300000;2;2;;2;;2;;2;;1;200000;2;1;162000;2;2;;;2;;;2;;;2;;;1;1200000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;0;3;;;10;7;;1;;1;1;1;20;1;1;1;0;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;15;1;1;1350000;93;9312;6113
20240417;04;2024;7742095;1;2;1;60;;1;228.39162235;05;1;4771;1;2;1;;1;;1;;1;2;1;1;16;1;;1;1;1;1;1;2;2300000;2;;1;250000;2;2;;2;;2;;2;;2;;;1;162000;2;2;;;2;;;2;;;1;120000;2;1;2100000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;56;;;56;;;;10;7;;1;;1;1;1;3;1;1;1;0;12;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;20;1;1;2300000;47;4771;1212
20240417;04;2024;7742096;1;1;1;60;;1;224.8094751;05;1;4711;1;1;;;1;;1;;2;2;2;2;6;1;;1;1;2;2;1;2;1300000;2;;2;;;2;;2;;2;;1;1000000;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;;2;7;;2;;2;;;;2;2;1;0;145;1;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;5;8;1;1300000;47;4711;5223
20240417;04;2024;7742097;1;1;1;60;;1;205.66805303;05;1;4754;1;2;1;;1;;1;;1;2;1;1;120;1;;1;1;1;1;5;1;1300000;2;;2;;;2;;2;;2;;2;;2;;;1;162000;2;2;;;2;;;2;;;2;;;1;1160000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;;9;7;;1;;1;2;1;10;1;1;1;2;5;1;;8;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;20;1;1;1300000;47;4754;3257
20240417;04;2024;7742098;1;1;1;60;;1;228.39162235;05;1;1410;1;2;1;;1;;1;;1;2;1;1;24;1;;1;1;1;1;2;2;1600000;2;;2;;;2;;2;;2;;2;;2;;;1;162000;1;2;;;2;;;2;;;1;98;2;1;1200000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;;10;7;;1;;1;1;1;5;1;1;1;2;36;1;;8;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;1;20;3;1;1600000;14;1410;8344
20240417;04;2024;7742098;1;2;1;60;;1;228.39162235;05;1;8530;1;2;1;;1;;1;;1;2;1;1;82;1;;1;1;1;1;1;2;2800000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;2400000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;;6;7;;1;;1;1;1;7;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;2;2;15;3;1;2800000;85;8530;2341
20240416;04;2024;7742099;1;1;1;60;;1;154.85450081;05;1;4711;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;5000000;1;0;3000000;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;1000000;1;;3;;3;2;12;70;;;70;;;;1;1;;1;;3;;;;2;2;1;1;120;1;;4;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;10;1;1000000;47;4711;5223
20240416;04;2024;7742100;1;1;1;60;;1;235.23329228;05;1;1313;1;2;2;12;1;;1;;1;2;1;1;60;1;;1;1;1;1;1;2;1500000;2;;2;;;2;;2;;2;;2;;2;;;1;162000;1;2;;;2;;;2;;;2;;;1;1500000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;48;;;;10;7;;1;;1;2;1;3;1;1;1;0;84;1;;8;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;10;8;1;1500000;13;1313;3122
20240416;04;2024;7742101;1;1;1;60;;1;264.90230422;05;1;4761;2;;;;;;;;;;;;60;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;8000000;1;0;4000000;0;800000;0;;;;;;;;;;;;;;;;;;1;1;2024;2;;3200000;1;;3;;1;2;12;60;;;60;;;;1;7;;3;;2;;;;2;2;1;12;48;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;2;2;1;3200000;47;4761;5221
20240416;04;2024;7742101;1;2;1;60;;1;264.90230422;05;1;4923;1;2;1;;1;;1;;1;2;1;1;48;1;;1;1;1;1;1;2;2400000;2;;1;1000000;2;2;;2;;2;;2;;2;;;1;162000;2;2;;;2;;;2;;;2;;;1;2100000;2;;2;;1;98;2;;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;60;;;;10;4;;1;;1;2;1;8;1;1;1;0;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;15;1;1;2400000;49;4923;8332
20240416;04;2024;7742101;1;3;1;60;;1;264.90230422;05;1;5611;1;2;1;;1;;1;;1;2;1;1;48;1;;1;1;1;1;1;2;1300000;2;;1;200000;2;1;350000;2;;2;;2;;2;;;1;162000;2;2;;;2;;;2;;;2;;;1;1200000;2;;2;;2;;2;;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;60;;;;8;7;;1;;1;1;1;6;1;1;1;0;24;1;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;20;1;1;1650000;56;5611;5131
20240416;04;2024;7742101;1;4;1;60;;1;264.90230422;05;1;8230;1;1;;;1;;1;;2;2;2;2;24;1;;1;1;1;1;1;2;1400000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;;7;7;;3;;2;;;;2;2;1;0;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;20;2;1;1400000;82;8230;5131
20240416;04;2024;7742104;1;1;1;60;;1;204.46552883;05;1;1081;2;;;;;;;;;;;;60;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;0;3;1;1;1;7;;;;;;;;;;;;;1;12000000;1;1400000;5000000;2000000;800000;0;;;;;;;;;;;;;;;;;;1;1;2024;2;;2800000;1;;3;;1;2;12;48;;;48;;;;2;7;;1;;3;;;;2;2;1;0;350;1;;4;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;8;15;2;1;2800000;10;1081;1321
20240416;04;2024;7742104;1;2;1;60;;1;204.46552883;05;1;5611;1;1;;;1;;1;;2;2;2;2;12;1;;1;1;2;1;1;2;1300000;2;;2;;;1;350000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;;5;7;;3;;2;;;;2;2;1;0;8;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;12;2;1;1650000;56;5611;5131
20240416;04;2024;7742105;1;1;1;60;;1;254.98114681;05;1;5112;1;2;1;;1;;1;;1;2;1;1;12;1;;1;1;1;1;2;2;2500000;2;;2;;;2;;2;;1;250000;2;;2;;;2;;;1;49000;2;2;;;2;;;2;;;1;2200000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;;10;7;;1;;1;1;1;12;1;1;1;12;60;1;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;7;30;8;1;2500000;51;5112;7232
20240416;04;2024;7742105;1;2;1;60;;1;254.98114681;05;1;1410;2;;;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;2000000;1;0;1000000;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;550000;1;;3;;3;2;12;30;2;;30;;;;1;1;;3;;2;;;;2;2;1;0;6;1;;10;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;3;1;550000;14;1410;8153
20240416;04;2024;7742106;1;1;1;60;;1;240.7858617;05;1;3511;1;2;1;;1;;1;;1;2;1;1;12;1;;1;1;1;1;2;2;4500000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;4000000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;;8;8;;1;;1;1;1;13;1;1;1;3;24;1;;8;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;8;60;8;1;4500000;35;3511;1211
20240417;04;2024;7742107;1;1;1;60;;1;228.39162235;05;1;4762;1;2;1;;1;;1;;1;2;1;2;72;1;;1;1;1;1;2;2;1450000;2;;2;;;2;;2;;2;;2;;2;;;1;162000;2;2;;;2;;;2;;;1;150000;2;1;1450000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;;6;7;;1;;1;1;1;12;1;1;1;0;72;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;20;3;1;1450000;47;4762;4225
20240417;04;2024;7742107;1;2;1;60;;1;228.39162235;05;1;9609;2;;;;;;;;;;;;36;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;1;;2000000;2000000;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;2000000;1;;3;;1;1;12;16;1;;16;;;;1;1;;4;;2;;;;2;2;1;0;36;1;;1;;2;;;;;;1;30;1;1;1;1;1;2;1;2;2;2;2;2;1;1;1;2;2;2;2;1;14;;3;1;2000000;96;9609;4414
20240417;04;2024;7742108;1;1;1;60;;1;196.17266859;05;1;8610;1;2;1;;1;;1;;1;2;1;1;120;1;;1;1;1;1;2;2;2300000;2;;2;;;2;;2;;2;;2;;2;;;1;162000;2;2;;;2;;;2;;;2;;;1;2100000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;56;;;56;;;;10;7;;1;;1;2;1;25;1;1;1;0;60;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;2;20;1;1;2300000;86;8610;5321
20240417;04;2024;7742109;1;1;1;60;;1;205.66805303;05;1;8610;1;2;2;12;1;;1;;1;2;1;1;136;1;;1;1;1;1;2;2;4000000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;3800000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;47;;;47;;;;10;7;;1;;1;2;1;13;1;1;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;2;8;30;1;1;4000000;86;8610;2212
20240414;04;2024;7742111;1;1;1;60;05;1;1273.9960395;05;1;7420;1;1;;;2;4;1;7820;2;2;2;2;12;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;1;;3500000;3500000;;;1;1;120000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;3500000;1;;1;;8;2;12;24;2;;24;;;;5;7;;3;;2;;;;2;2;1;12;12;1;;8;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;30;3;1;3500000;74;7420;5241
20240414;04;2024;7742111;1;2;1;60;05;1;1273.9960395;05;1;5630;1;2;2;12;1;;1;;1;2;1;1;12;1;;1;1;2;1;1;2;3000000;2;;1;300000;2;1;365000;2;;2;;2;;2;;;1;162000;2;2;;;2;;;2;;;2;;;1;1160000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;48;;;0;3;;;7;7;;1;;1;1;1;10;1;1;1;0;7;4;;8;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;10;3;1;3365000;56;5630;5131
20240414;04;2024;7742113;1;1;1;60;05;1;1063.3114947;05;1;4742;2;;;;;;;;;;;;300;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;1500000;1500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1500000;1;;3;;3;2;12;40;;;40;;;;1;5;;1;;1;1;2;4;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;60;5;1;1500000;47;4742;5223
