PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20240835;08;2024;7893866;1;2;1;70;;2;265.63284636;11;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240835;08;2024;7893866;1;4;1;70;;2;265.63284636;11;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240835;08;2024;7893867;1;1;1;70;;2;280.26291751;11;1;;;;;1;;46;1500000;1;60;0;3;7;4;2;2;;2;;.;9211;01;0113;
20240835;08;2024;7893867;1;2;1;70;;2;280.26291751;11;1;;;;;;;;;1;480;0;3;4;1;2;2;;2;;.;5120;56;5619;
20240835;08;2024;7893869;1;1;1;70;;2;432.47164587;11;1;;;;;;;;;1;12;1;3;1;10;2;2;;2;;.;6113;01;0125;
20240835;08;2024;7893870;1;1;1;70;;2;585.38550093;11;1;;;;;2;5;;1300000;1;18;0;3;4;1;2;2;;2;;.;5120;56;5629;
20240835;08;2024;7893871;1;5;1;70;;2;52.830059154;25;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240835;08;2024;7893872;1;1;1;70;;2;166.99834908;25;1;;;;;;;;;1;42;1;4;7;5;2;2;;2;;.;9211;01;0113;
20240835;08;2024;7893873;1;1;1;70;;2;132.97787229;25;1;;;;;;;;;1;12;1;8;1;3;2;2;;2;;.;5230;47;4711;
20240835;08;2024;7893875;1;2;1;70;;2;126.67640389;25;1;;;;;;;;;1;24;1;3;7;3;2;2;;2;;.;9211;01;0113;
20240835;08;2024;7893877;1;2;1;70;;2;356.75822047;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240835;08;2024;7893877;1;3;1;70;;2;356.75822047;18;;1;1;8;1;;;40;1300000;2;;;;;;;2;;2;;5223;;;;
20240835;08;2024;7893878;1;1;1;70;;2;327.04679457;18;;1;1;1;1;;;48;1500000;1;0;1;8;1;2;2;2;;1;1700000;8323;8323;49;4923;
20240835;08;2024;7893878;1;2;1;70;;2;327.04679457;18;1;;;;;;;;;1;2;0;6;3;1;2;2;;2;;.;9111;97;9700;
20240835;08;2024;7893879;1;2;1;70;;2;282.90831893;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240835;08;2024;7893880;1;2;1;70;;2;312.78264774;18;1;;;;;;;;;1;120;0;3;4;1;2;2;;2;;.;9111;81;8121;
20240835;08;2024;7893880;1;3;1;70;;2;312.78264774;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240835;08;2024;7893881;1;3;1;70;;2;252.00431281;18;;2;1;20;4;;;48;1500000;1;1;0;8;4;1;2;2;;2;;3123;3123;41;4111;
20240835;08;2024;7893882;1;2;1;70;;2;157.6433132;18;1;;;;;;;;;1;12;0;8;1;4;2;2;;2;;.;5131;56;5611;
20240835;08;2024;7893883;1;1;1;70;;2;244.1803623;18;1;;;;;;;;;1;60;0;7;4;1;2;2;;2;;.;5212;56;5619;
20240835;08;2024;7893883;1;3;1;70;;2;244.1803623;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240835;08;2024;7893885;1;1;1;70;;2;195.38379642;18;;1;1;8;4;;;48;1500000;1;2;1;8;4;1;2;2;;2;;7111;7111;41;4111;
20240835;08;2024;7893886;1;1;1;70;;2;160.14327997;18;1;;;;;2;5;;1300000;1;50;0;6;4;1;2;2;;2;;.;9111;81;8121;
20240835;08;2024;7893887;1;1;1;70;;2;293.97960267;18;1;;;;;1;;48;1300000;2;;;;;;;2;;2;;.;.;;.;
20240835;08;2024;7893887;1;4;1;70;;2;293.97960267;18;;1;1;4;3;;;24;650000;1;1;0;3;3;1;2;2;;2;;9111;9111;97;9700;
20240835;08;2024;7893888;1;2;1;70;;2;646.53371433;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240835;08;2024;7893888;1;3;1;70;;2;646.53371433;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
