PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P3373;P3373S1;P3373S2;P3373S3;P3373S3A1;P3373S3A2;P3374;P3374S1;P3374S2;P3374S3;P3375S1;P3376;P3377;P3378;P3378S1;P3379;P3380;P3381;P3382;P3382S1;P3382S2;P3382S3;P3383;P3384;P3384S1;P3384S2;P3384S3;P3385;P3386;P3386S1;P3375
20241252;12;2024;8038184;1;1;1;94;;2;1226.8532705;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038184;1;2;1;94;;2;1226.8532705;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038184;1;3;1;94;;2;1226.8532705;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038184;1;4;1;94;;2;1226.8532705;15;2;15;15464;.;;;1;;;;;2;;;;;;;1;.;.;.;;2;.;.;.;2;;;
20241252;12;2024;8038186;1;1;1;94;;2;2142.734453;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038186;1;2;1;94;;2;2142.734453;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038186;1;3;1;94;;2;2142.734453;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038186;1;4;1;94;;2;2142.734453;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038187;1;1;1;94;;2;873.5458646;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038187;1;2;1;94;;2;873.5458646;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038188;1;1;1;94;;2;1226.8532705;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038188;1;2;1;94;;2;1226.8532705;15;2;25;25815;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038188;1;3;1;94;;2;1226.8532705;15;1;.;.;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
20241252;12;2024;8038188;1;4;1;94;;2;1226.8532705;15;2;15;15759;.;;;1;;;;;2;;;;;;;2;.;.;.;2;2;.;.;.;2;;;
