PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20240205;02;2024;7685523;1;1;01;50;1;231.35928267;50;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;1;;;250000000;600000;;;1;;;;;;;;;;2
20240205;02;2024;7685524;1;1;01;50;1;223.13071264;50;1;1;4;1;3;1;1;1;3;1;1;5;4;1;1;1;1;1;3;3;;;;;1200000;;1;;;;;;1;;;NEQUI;6
20240205;02;2024;7685525;1;1;01;50;1;236.12425995;50;1;1;4;1;3;1;1;1;3;1;1;6;2;1;1;1;1;1;3;1;;;280000000;1500000;;;1;;;;;;;;;;2
20240205;02;2024;7685526;1;1;01;50;1;292.59146059;50;2;1;4;1;3;1;1;1;3;1;2;2;1;1;1;1;1;1;3;4;;;;400000;;;1;;;;;;;;;;1
20240205;02;2024;7685526;2;2;01;50;1;292.59146059;50;2;1;4;1;3;1;1;1;3;1;2;2;1;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;2
20240205;02;2024;7685527;1;1;01;50;1;217.88994933;50;3;1;4;1;3;1;1;1;3;1;1;1;1;1;2;1;1;1;3;3;;;;;250000;;;;;;;;;1;;;5
20240205;02;2024;7685528;1;1;01;50;1;205.99739916;50;1;1;4;1;3;2;1;1;7;1;1;2;1;1;1;1;1;1;4;3;;;;;600000;;;;;;;;1;;;AHORRO A LA MANO;3
20240205;02;2024;7685529;1;1;01;50;1;225.08546423;50;1;1;4;1;3;1;1;1;7;1;1;3;2;1;1;1;1;1;3;4;;;;450000;;;1;;;;;;;;;;4
20240205;02;2024;7685530;1;1;01;50;1;304.28936165;50;1;1;4;1;3;2;1;1;7;1;1;1;1;1;1;1;1;1;4;4;;;;400000;;;1;;;;;;;;;;1
20240205;02;2024;7685531;1;1;01;50;1;337.99739337;50;1;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;280000000;1200000;;;1;;;;;;;;;;3
20240205;02;2024;7685533;1;1;01;50;1;298.34528321;50;1;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;4;2;;1000000;300000000;1600000;;;1;;;;;1;;;;;3
20240205;02;2024;7685534;1;1;01;50;1;210.12461523;50;1;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;1600000;;1;;;;;;;;;;5
20240205;02;2024;7685535;1;1;01;50;1;348.97407875;50;1;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;1500000;;1;;;;;;;;;;4
20240205;02;2024;7685536;1;1;01;50;1;348.97407875;50;1;1;4;1;3;1;1;1;7;1;1;4;2;1;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;4
20240205;02;2024;7685537;1;1;01;50;1;192.67411185;50;1;1;4;1;3;1;1;1;7;1;1;8;7;1;1;1;1;1;4;4;;;;1000000;;;1;;;;;;1;;;AHORRO A LA MANO DAVIPLATA;7
20240205;02;2024;7685538;1;1;01;50;1;299.52438437;50;2;1;4;1;3;1;1;1;7;1;1;3;1;1;1;1;1;1;3;3;;;;;1300000;;1;;;;;;;;;;1
20240205;02;2024;7685539;1;1;01;50;1;220.7704225;50;1;1;4;1;3;1;1;1;3;1;1;4;1;1;1;1;1;1;3;1;;;260000000;700000;;;1;;;;;;;;;;1
20240207;02;2024;7685540;1;1;01;;1;189.86629215;05;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;600000;;;;;;;;;1;;;4
20240207;02;2024;7685541;1;1;01;;1;184.75982654;05;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;4;;;;1000000;;;;;;;;;;1;;;2
20240207;02;2024;7685542;1;1;01;;1;184.75982654;05;1;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;200000000;1000000;;;1;;;;;;;;;;2
20240207;02;2024;7685543;1;1;01;;1;270.08882439;05;1;1;4;1;3;2;1;1;3;1;1;3;2;1;1;1;1;1;4;2;;420000;180000000;800000;;;1;;1;;1;;;;;;3
20240207;02;2024;7685544;1;1;01;;1;131.92503011;05;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;1;;;15000000;1000000;;;;;;;;;;1;;;3
20240207;02;2024;7685545;1;1;01;;1;237.28221361;05;2;1;4;1;3;2;1;1;3;1;1;2;1;1;1;1;1;1;4;3;;;;;500000;;;;;;;;;1;;;1
20240207;02;2024;7685546;1;1;01;;1;270.08882439;05;1;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;4;;;;1200000;;;1;;;;;1;;;;;3
20240207;02;2024;7685547;1;1;01;;1;237.16387399;05;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;1200000;;1;;;;;;;;;;5
20240207;02;2024;7685548;1;1;01;;1;208.44474266;05;2;1;4;1;3;1;1;1;3;1;1;4;1;1;1;1;1;1;3;4;;;;1000000;;;;;;;;;;1;;;2
20240207;02;2024;7685549;1;1;01;;1;119.61576613;05;1;1;4;1;3;1;1;1;3;1;1;6;3;1;1;1;1;1;3;1;;;200000000;1200000;;;1;;;;;;;;;;4
20240209;02;2024;7685550;1;1;01;;1;167.96347867;05;1;1;4;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;280000000;1000000;;;1;;;1;;;;;;;2
20240209;02;2024;7685551;1;1;01;;1;352.39721114;05;1;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;150000000;10000000;;;1;;;;;;;;;;4
20240209;02;2024;7685552;1;1;01;;1;208.59771828;05;1;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;3;;;;;900000;;1;;;;;;;;;;2
20240209;02;2024;7685553;1;1;01;;1;185.65185184;05;1;1;4;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;2;;800000;200000000;1000000;;;1;;1;;1;;;;;;2
