PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20240205;02;2024;7685523;1;1;1;70;50;1;231.35928267;50;1;;;;;;;;;1;380;0;3;1;5;2;2;;2;;.;4110;69;6910;
20240205;02;2024;7685524;1;3;1;70;50;1;223.13071264;50;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240205;02;2024;7685524;1;4;1;70;50;1;223.13071264;50;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240205;02;2024;7685524;1;5;1;70;50;1;223.13071264;50;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240205;02;2024;7685524;1;6;1;70;50;1;223.13071264;50;1;;;;;;;;;1;240;0;4;7;3;2;2;;2;;.;9211;01;0113;
20240205;02;2024;7685525;1;1;1;70;50;1;236.12425995;50;1;;;;;;;;;1;216;0;4;4;1;2;2;;2;;.;7531;14;1410;
20240205;02;2024;7685526;2;1;2;70;50;1;292.59146059;50;1;;;;;2;5;;1300000;1;60;0;7;1;8;2;2;;2;;.;5414;52;5221;
20240205;02;2024;7685527;1;4;1;70;50;1;217.88994933;50;1;;;;;;;;;1;3;0;3;3;1;2;2;;2;;.;9111;97;9700;
20240205;02;2024;7685528;1;2;1;70;50;1;205.99739916;50;;1;1;8;1;;;60;1300000;1;2;0;8;7;3;2;2;;2;;8141;8141;01;0113;
20240205;02;2024;7685528;1;3;1;70;50;1;205.99739916;50;1;;;;;;;;;1;300;0;4;4;1;2;2;;2;;.;9111;81;8121;
20240205;02;2024;7685531;1;1;1;70;50;1;337.99739337;50;1;;;;;2;4;;2500000;1;3;0;7;4;1;2;2;;2;;.;5223;47;4732;
20240205;02;2024;7685531;1;2;1;70;50;1;337.99739337;50;1;;;;;;;;;1;0;3;3;4;1;2;2;;2;;.;5142;96;9602;
20240205;02;2024;7685533;1;2;1;70;50;1;298.34528321;50;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
