PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20240311;03;2024;7713749;1;1;01;;1;149.08065761;05;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;2;;980000;500000000;1500000;;;1;;;;1;;;;;;5
20240311;03;2024;7713750;1;1;01;;1;268.64128115;05;2;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;3;3;3;;;;;1100000;;1;;;;;1;;;;;3
20240311;03;2024;7713751;1;1;01;;1;206.34932203;05;2;1;4;1;3;1;1;1;3;1;1;4;1;1;1;1;1;3;3;3;;;;;1200000;;;;;;;;;1;;;1
20240311;03;2024;7713752;1;1;01;;1;145.93301494;05;2;1;4;1;3;1;1;1;3;1;1;5;2;1;1;1;1;1;3;3;;;;;1200000;;;;;;;;;1;;;2
20240312;03;2024;7713753;1;1;01;;1;237.79129879;05;2;1;4;1;4;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;1200000;;1;;1;;1;;;;;;2
20240312;03;2024;7713754;1;1;01;;1;237.97759417;05;2;1;4;1;4;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;580000;;1;;;;;;;;;;1
20240312;03;2024;7713755;1;1;01;;1;149.25183799;05;1;1;4;1;4;1;1;1;3;1;1;5;3;1;1;1;1;1;3;1;;;450000000;2000000;;;1;;;;;1;;;;;4
20240311;03;2024;7713756;1;1;01;;1;100.47563501;05;2;1;3;1;3;2;1;1;3;1;1;4;2;1;1;1;1;1;4;3;;;;;1300000;;1;;;;;;;;;;3
20240311;03;2024;7713757;1;1;01;;1;100.47563501;05;2;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;3;;;;;1200000;;1;;;;;;;;;;3
20240311;03;2024;7713758;1;1;01;;1;98.4695984;05;2;1;4;1;3;2;1;1;3;1;1;4;3;1;1;1;1;1;4;3;;;;;1100000;;1;;;;;;;;;;3
20240311;03;2024;7713759;1;1;01;;1;175.20024864;05;2;1;4;1;3;2;1;1;3;1;1;4;1;1;1;1;1;1;4;1;;;260000000;1200000;;;1;;;;;;;;;;1
