PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20240311;03;2024;7713749;1;3;1;70;;1;149.08065761;05;1;;;;;;;;;1;24;0;2;1;10;2;2;;2;;.;4221;51;5111;
20240311;03;2024;7713749;1;5;1;70;;1;149.08065761;05;;2;1;20;1;;;48;1300000;1;4;0;1;1;10;2;2;;2;;9329;8160;10;1082;
20240311;03;2024;7713750;1;2;1;70;;1;268.64128115;05;;2;1;48;1;;;48;1500000;1;11;0;7;1;10;2;2;;2;;5111;5111;51;5111;
20240311;03;2024;7713752;1;1;1;70;;1;145.93301494;05;1;;;;;;;;;1;102;0;5;1;10;2;3;;2;;.;9214;01;0125;
20240312;03;2024;7713755;1;2;1;70;;1;149.25183799;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240312;03;2024;7713755;1;4;1;70;;1;149.25183799;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240311;03;2024;7713758;1;2;1;70;;1;98.4695984;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240311;03;2024;7713758;1;3;1;70;;1;98.4695984;05;;2;1;25;1;;;47;1800000;1;5;0;8;4;10;2;2;;1;1800000;4110;4110;85;8544;
20240311;03;2024;7713760;1;1;1;70;;1;97.619288192;05;1;;;;;;;;;1;3;0;8;4;10;2;2;;2;;.;4110;84;8412;
20240311;03;2024;7713760;1;2;1;70;;1;97.619288192;05;1;;;;;;;;;1;7;0;2;1;5;2;2;;2;;.;5131;56;5611;
20240311;03;2024;7713760;1;3;1;70;;1;97.619288192;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240312;03;2024;7713761;1;2;1;70;;1;265.6231325;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240312;03;2024;7713762;1;1;1;70;;1;335.70790686;05;1;;;;;;;;;1;145;0;6;5;3;2;3;;2;;.;5221;47;4724;
20240312;03;2024;7713762;1;2;1;70;;1;335.70790686;05;1;;;;;;;;;1;140;0;4;5;2;2;2;;2;;.;5141;96;9602;
20240312;03;2024;7713762;1;3;1;70;;1;335.70790686;05;;1;1;12;1;;;48;1300000;1;3;0;6;1;4;2;2;;2;;8331;8332;49;4923;
20240310;03;2024;7713763;1;1;1;70;05;1;909.52791284;05;1;;;;;;;;;1;186;2;5;1;5;2;3;;2;;.;5120;88;8891;
20240310;03;2024;7713765;1;1;1;70;05;1;722.85070281;05;1;;;;;;;;;1;24;0;6;3;1;2;2;;2;;.;9111;97;9700;
20240310;03;2024;7713765;1;5;1;70;05;1;722.85070281;05;1;;;;;1;;48;1300000;1;12;0;1;1;5;2;2;;2;;.;4223;49;4921;
20240310;03;2024;7713766;1;4;1;70;05;1;754.3337762;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713768;1;1;1;70;05;1;4404.2576516;05;1;;;;;;;;;1;192;0;5;1;10;2;3;;2;;.;8332;23;2394;
20240310;03;2024;7713768;1;2;1;70;05;1;4404.2576516;05;1;;;;;;;;;1;300;0;3;5;2;2;2;;2;;.;5223;47;4711;
20240310;03;2024;7713769;1;2;1;70;05;1;1209.4905336;05;;1;1;3;1;;;47;1300000;1;1;0;1;1;10;2;2;;1;1300000;5230;5230;56;5611;
20240310;03;2024;7713770;1;1;1;70;05;1;1006.3655769;05;1;;;;;;;;;1;8;5;5;2;10;2;3;;2;;.;2310;85;8544;
20240310;03;2024;7713770;1;2;1;70;05;1;1006.3655769;05;1;;;;;;;;;1;192;5;5;2;10;2;3;;2;;.;1342;86;8610;
20240310;03;2024;7713772;1;2;1;70;05;1;5537.0454614;05;1;;;;;;;;;1;18;5;3;1;4;2;1;2;2;;.;1221;68;6810;
20240310;03;2024;7713773;1;2;1;70;05;1;983.21743982;05;;1;1;4;1;;;47;1300000;2;;;;;;;2;;2;;9111;;;;
20240310;03;2024;7713775;1;1;1;70;05;1;960.23845724;05;;1;1;12;1;;;47;1300000;1;3;0;8;1;8;2;2;;2;;5242;5242;46;4632;
20240310;03;2024;7713775;1;2;1;70;05;1;960.23845724;05;1;;;;;;;;;1;108;0;7;1;5;2;2;;2;;.;7422;31;3110;
20240310;03;2024;7713777;1;2;1;70;05;1;647.30878623;05;;2;1;20;1;;;47;1300000;2;;;;;;;2;;2;;5131;;;;
20240310;03;2024;7713778;1;1;1;70;05;1;1996.0601845;05;1;;;;;;;;;1;60;0;5;2;10;2;3;;2;;.;5412;84;8423;
20240310;03;2024;7713779;1;2;1;70;05;1;1920.4769145;05;1;;;;;;;;;1;48;5;4;5;3;2;1;2;2;;.;3114;95;9522;
20240310;03;2024;7713781;1;1;1;70;05;1;1294.5089694;05;1;;;;;;;;;1;180;5;4;2;10;2;3;;2;;.;2341;85;8530;
20240310;03;2024;7713781;1;3;1;70;05;1;1294.5089694;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713781;1;4;1;70;05;1;1294.5089694;05;1;;;;;;;;;1;50;5;4;3;1;2;2;;2;;.;9111;97;9700;
20240310;03;2024;7713782;1;2;1;70;05;1;802.40048042;05;1;;;;;;;;;1;48;2;4;4;4;2;2;;2;;.;9122;45;4520;
20240310;03;2024;7713782;1;3;1;70;05;1;802.40048042;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713785;1;1;1;70;05;1;759.2624781;05;1;;;;;;;;;1;6;0;5;1;2;2;2;;2;;.;1420;47;4721;
20240310;03;2024;7713785;1;2;1;70;05;1;759.2624781;05;1;;;;;;;;;1;6;0;5;6;2;2;2;;2;;.;5223;47;4721;
20240310;03;2024;7713786;1;1;1;70;05;1;512.97855972;05;1;;;;;;;;;1;24;5;2;6;3;2;2;;2;;.;9411;56;5619;
20240310;03;2024;7713786;1;2;1;70;05;1;512.97855972;05;1;;;;;;;;;1;15;5;2;6;3;2;2;;2;;.;9411;56;5619;
20240310;03;2024;7713786;1;3;1;70;05;1;512.97855972;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713789;1;1;1;70;05;1;767.74846664;05;;2;1;114;1;;;47;1300000;1;3;0;6;1;4;2;2;;2;;5223;5131;56;5611;
20240310;03;2024;7713793;1;2;1;70;05;1;809.83131137;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713795;1;1;1;70;05;1;741.53821853;05;1;;;;;;;;;1;135;5;4;1;10;2;2;;2;;.;9112;84;8414;
20240310;03;2024;7713797;1;2;1;70;05;1;1086.1563105;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713799;1;1;1;70;05;1;1108.9223247;05;1;;;;;;;;;1;72;0;4;1;10;2;3;;2;;.;5230;52;5221;
20240310;03;2024;7713801;1;1;1;70;05;1;849.67920873;05;1;;;;;;;;;1;180;1;5;2;10;2;3;;2;;.;5321;86;8610;
20240310;03;2024;7713802;1;2;1;70;05;1;722.51778237;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713802;1;3;1;70;05;1;722.51778237;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713805;1;1;1;70;05;1;1521.307072;05;1;;;;;;;;;1;48;0;3;3;1;2;2;;2;;.;5322;97;9700;
20240310;03;2024;7713806;1;1;1;70;05;1;1425.7572746;05;1;;;;;;;;;1;312;0;4;1;6;2;2;;2;;.;8172;16;1610;
20240310;03;2024;7713815;1;2;1;70;08;1;892.22387366;08;1;;;;;;;;;1;120;0;4;1;4;2;2;;2;;.;4311;45;4520;
20240310;03;2024;7713819;1;1;1;70;11;1;3840.0540229;11;1;;;;;;;;;1;90;0;5;1;10;2;3;;2;;.;4120;41;4111;
20240310;03;2024;7713822;1;1;1;70;11;1;4369.1844723;11;1;;;;;;;;;1;48;0;5;1;6;2;3;;2;;.;4321;21;2100;
20240310;03;2024;7713825;1;2;1;70;11;1;4745.2460438;11;1;;;;;;;;;1;48;0;4;4;1;2;2;;2;;.;5212;56;5619;
20240310;03;2024;7713827;1;1;1;70;11;1;3787.7193019;11;1;;;;;;;;;1;120;0;4;4;1;2;2;;2;;.;9111;81;8121;
20240310;03;2024;7713833;1;1;1;70;11;1;3950.7016987;11;;1;1;12;1;;;46;2000000;1;12;1;8;1;9;2;2;;2;;1212;2310;85;8544;
20240310;03;2024;7713835;1;3;1;70;13;1;411.41103385;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713837;1;1;1;70;13;1;457.01880169;13;1;;;;;1;;47;1300000;1;7;1;6;4;3;2;2;;2;;.;5131;56;5630;
20240310;03;2024;7713838;1;1;1;70;13;1;230.35288751;13;1;;;;;;;;;1;36;0;8;4;3;2;2;;2;;.;5120;56;5611;
20240310;03;2024;7713838;1;3;1;70;13;1;230.35288751;13;;1;1;8;1;;;48;1500000;1;3;0;8;4;10;2;2;;2;;2635;3253;84;8413;
20240310;03;2024;7713840;1;2;1;70;13;1;390.75324959;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713842;1;3;1;70;13;1;474.94899588;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713843;1;3;1;70;13;1;262.61237836;13;;1;1;4;3;;;40;1000000;1;4;5;6;4;2;2;2;;2;;9111;5221;47;4711;
20240310;03;2024;7713843;1;5;1;70;13;1;262.61237836;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713843;1;6;1;70;13;1;262.61237836;13;1;;;;;2;4;;1300000;1;6;4;6;4;1;2;2;;2;;.;5212;47;4781;
20240310;03;2024;7713846;1;1;1;70;13;1;595.31773114;13;1;;;;;;;;;1;36;1;4;4;1;2;2;;2;;.;9111;81;8121;
20240310;03;2024;7713848;1;2;1;70;13;1;339.9029001;13;1;;;;;;;;;1;9;0;4;1;8;2;1;2;2;;.;4110;93;9312;
20240310;03;2024;7713848;1;3;1;70;13;1;339.9029001;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713849;1;1;1;70;13;1;261.3688577;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713849;1;2;1;70;13;1;261.3688577;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713849;1;3;1;70;13;1;261.3688577;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713849;1;4;1;70;13;1;261.3688577;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713849;1;5;1;70;13;1;261.3688577;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713851;1;4;1;70;13;1;263.2848673;13;;1;1;5;1;;;48;1300000;2;;;;;;;2;;2;;4110;;;;
20240310;03;2024;7713851;1;5;1;70;13;1;263.2848673;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713852;1;1;1;70;13;1;462.83741308;13;;1;1;4;1;;;48;1200000;1;1;1;6;4;1;2;2;;2;;4321;8321;49;4921;
20240310;03;2024;7713852;1;2;1;70;13;1;462.83741308;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713852;1;3;1;70;13;1;462.83741308;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713853;1;2;1;70;13;1;392.56818032;13;1;;;;;1;;48;1300000;1;120;0;8;1;7;2;2;;2;;.;5223;47;4771;
20240310;03;2024;7713854;1;1;1;70;13;1;366.58301638;13;1;;;;;;;;;1;6;0;8;4;1;2;2;;2;;.;5120;56;5619;
20240310;03;2024;7713855;1;2;1;70;13;1;405.7983403;13;1;;;;;;;;;1;360;0;8;4;1;2;2;;2;;.;9111;81;8121;
20240310;03;2024;7713855;1;3;1;70;13;1;405.7983403;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240310;03;2024;7713856;1;1;1;70;13;1;282.00528396;13;;2;1;64;1;;;72;1000000;1;16;0;7;1;8;2;2;;2;;5414;5414;85;8530;
20240310;03;2024;7713856;1;2;1;70;13;1;282.00528396;13;1;;;;;;;;;1;24;0;5;1;7;2;3;;2;;.;4311;47;4772;
20240310;03;2024;7713859;1;5;1;70;13;1;319.26654697;13;1;;;;;;;;;1;180;0;5;1;9;2;3;;2;;.;5230;47;4711;
20240310;03;2024;7713860;1;1;1;70;13;1;318.19327849;13;1;;;;;;;;;1;120;1;4;4;1;2;2;;2;;.;8350;50;5011;
