PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;FFT;PET;P6240;P6240S1;P6240S2;P6250;P6260;P6260S1;P6260S1A1;P6260S2;P6270;P6280;P6290;P3362S1;P3362S2;P3362S3;P3362S4;P3362S5;P3362S6;P3362S7;P3362S8;P3362S7A1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351
20241044;10;2024;7981548;1;1;1;50;;1;115.55951312;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981549;1;1;1;50;;1;667.87886053;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981550;1;1;1;50;;1;785.59930447;66;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981551;1;1;1;50;;1;350.95535509;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981552;1;1;1;50;;1;576.78552549;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981553;1;1;1;50;;1;514.69024174;66;1;;1;6;CUIDAR ADULTA MAYOR;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981554;1;1;1;50;;1;189.28011328;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981554;1;2;1;50;;1;189.28011328;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981554;1;3;1;50;;1;189.28011328;66;1;;1;4;;;2;2;;;;2;1;;1;;;;;;;;;;;;;;;;1
20241044;10;2024;7981555;1;1;1;50;;1;229.74889919;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981555;1;2;1;50;;1;229.74889919;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981555;1;3;1;50;;1;229.74889919;66;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981555;1;5;1;50;;1;229.74889919;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981556;1;1;1;50;;1;350.95535509;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981557;1;1;1;50;;1;204.15452458;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981557;1;2;1;50;;1;204.15452458;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981557;1;3;1;50;;1;204.15452458;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981557;1;4;1;50;;1;204.15452458;66;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981557;1;5;1;50;;1;204.15452458;66;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981558;1;1;1;50;;1;568.24889305;66;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981558;1;2;1;50;;1;568.24889305;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981559;1;1;1;50;;1;683.90282811;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981559;1;2;1;50;;1;683.90282811;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981559;1;3;1;50;;1;683.90282811;66;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981560;1;1;1;50;;1;237.15318919;66;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981560;1;2;1;50;;1;237.15318919;66;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981560;1;3;1;50;;1;237.15318919;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981561;1;1;1;50;;1;350.95535509;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981562;1;1;1;50;;1;684.67247966;66;;1;1;6;DESCANSAR EN CASA;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981562;1;2;1;50;;1;684.67247966;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981562;1;3;1;50;;1;684.67247966;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981563;1;1;1;50;;1;187.10803086;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981563;1;2;1;50;;1;187.10803086;66;1;;1;4;;;2;2;;;;1;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981564;1;1;1;50;;1;240.39107479;66;1;;1;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981565;1;1;1;50;;1;142.38939753;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981566;1;1;1;50;;1;115.55951312;66;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981568;1;1;1;50;;1;216.72788984;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981568;1;2;1;50;;1;216.72788984;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981569;1;1;1;50;;1;91.298427522;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981570;1;1;1;50;;1;84.334553079;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981571;1;1;1;50;;1;97.359913249;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981571;1;2;1;50;;1;97.359913249;66;1;;1;6;CITAS MEDICAS TERAPIAS;;2;2;;;;1;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981572;1;1;1;50;;1;68.377726692;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981573;1;1;1;50;;1;76.708092948;66;;1;1;3;;;2;2;;;;2;2;;;;;;;;;;;1;12;;;;;;
20241044;10;2024;7981574;1;1;1;50;;1;66.801496703;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981574;1;2;1;50;;1;66.801496703;66;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981574;1;3;1;50;;1;66.801496703;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981575;1;1;1;50;;1;280.37737469;66;;1;1;6;DESCANSAR;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981575;1;2;1;50;;1;280.37737469;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981576;1;1;1;50;;1;91.298427522;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981577;1;1;1;50;;1;316.14425813;66;1;;1;2;;;2;2;;;;2;1;;1;;;;;;;;;;;;;;;;1
20241044;10;2024;7981577;1;2;1;50;;1;316.14425813;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981578;1;1;1;50;;1;280.37737469;66;1;;1;4;;;2;2;;;;1;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981578;1;2;1;50;;1;280.37737469;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981579;1;1;1;50;;1;135.90456927;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981579;1;2;1;50;;1;135.90456927;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981579;1;3;1;50;;1;135.90456927;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981580;1;1;1;50;;1;363.07824584;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981580;1;2;1;50;;1;363.07824584;66;1;;1;4;;;2;2;;;;2;1;;1;1;;;;;;;;;;;;;;;1
20241044;10;2024;7981581;1;1;1;50;;1;91.298427522;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981582;1;1;1;50;;1;62.254283161;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981583;1;1;1;50;;1;96.827101426;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981583;1;2;1;50;;1;96.827101426;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981583;1;3;1;50;;1;96.827101426;66;;1;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981584;1;1;1;50;;1;296.46157924;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981585;1;1;1;50;;1;568.24889305;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981585;1;2;1;50;;1;568.24889305;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981586;1;1;1;50;;1;774.69172965;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981586;1;2;1;50;;1;774.69172965;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981587;1;1;1;50;;1;514.69024174;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981589;1;1;1;50;;1;522.39376984;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981590;1;1;1;50;;1;685.969337;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981590;1;2;1;50;;1;685.969337;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
20241044;10;2024;7981591;1;1;1;50;;1;514.69024174;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981592;1;1;1;50;;1;385.47595655;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981593;1;1;1;50;;1;565.64776536;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981593;1;2;1;50;;1;565.64776536;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981593;1;3;1;50;;1;565.64776536;66;1;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;
20241044;10;2024;7981593;1;4;1;50;;1;565.64776536;66;;1;1;4;;;2;2;;;;2;2;;;;;;;;;;;2;;;;;;;
