PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20241044;10;2024;7981549;1;1;1;60;;1;667.87886053;66;1;123;1;1;;;1;;1;;2;2;2;2;9;7;;2;2;2;2;1;2;780000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;;5;8;;2;;2;;;;2;2;1;0;120;4;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;40;8;1;780000;01;0123;9211
20241044;10;2024;7981550;1;1;1;60;;1;785.59930447;66;1;5619;2;;;;;;;;;;;;8;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;1200000;1200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;200000;1;;3;;3;2;8;10;2;;10;;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;3;5;5;1;200000;56;5619;9411
20241044;10;2024;7981552;1;1;1;60;;1;576.78552549;66;1;4923;2;;;;;;;;;;;;480;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;4;1;6;;;;1500000;1500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1200000;1;;3;;1;2;12;50;;;50;;;;1;4;;1;;2;;;;1;2;1;0;60;7;;10;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;1;8;1;1200000;49;4923;8332
20241044;10;2024;7981553;1;1;1;60;;1;514.69024174;66;1;9602;2;;;;;;;;;;;;82;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;6;;;;500000;500000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;200000;1;;3;;6;2;12;20;2;;20;;;;1;1;;2;;2;;;;2;2;1;6;48;7;;3;;2;;;;;;1;20;2;1;2;;;;;;;;;;;;1;1;1;2;2;1;3;1;5;1;200000;96;9602;5141
20241044;10;2024;7981554;1;1;1;60;;1;189.28011328;66;1;123;1;1;;;1;;1;;2;2;2;2;6;7;;9;9;9;9;1;2;1120000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;;3;8;;2;;2;;;;2;2;1;0;12;7;;9;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;11;60;5;1;1120000;01;0123;9211
20241044;10;2024;7981555;1;2;1;60;;1;229.74889919;66;1;4322;2;;;;;;;;;;;;200;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;;150000;150000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;100000;1;;1;;1;2;8;30;1;;20;6;;2;1;8;;2;;2;;;;2;2;1;5;160;7;;2;;1;15;6;;2;2;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;3;15;8;1;100000;43;4322;7126
20241044;10;2024;7981555;1;5;1;60;;1;229.74889919;66;1;4111;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;0;1;2;1;1;1;6;;;;1200000;1200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;600000;1;;1;;1;1;3;40;;;30;6;;2;2;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;2;2;2;1;3;15;8;1;600000;41;4111;7112
20241044;10;2024;7981557;1;1;1;60;;1;204.15452458;66;1;4711;1;1;;;1;;1;;2;2;2;2;120;1;;1;1;1;1;1;2;1800000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;60;;;60;;;;2;7;;1;;1;1;3;10;2;2;1;1;36;7;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;2;3;15;8;1;1800000;47;4711;5223
20241044;10;2024;7981557;1;3;1;60;;1;204.15452458;66;1;5630;1;1;;;1;;2;;2;2;2;2;2;1;;1;1;9;9;1;2;850000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;45;;;45;;;;3;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;3;15;3;1;850000;56;5630;9629
20241044;10;2024;7981558;1;1;1;60;;1;568.24889305;66;1;8121;2;;;;;;;;;;;;14;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;3;3;3;6;;;;200000;200000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;200000;1;;3;;4;2;12;10;2;;10;;;;1;2;;2;;2;;;;2;2;1;0;240;1;;7;;1;10;1;240000;2;7;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;2;8;1;440000;81;8121;9111
20241044;10;2024;7981558;1;2;1;60;;1;568.24889305;66;1;123;1;1;;;1;;1;;2;2;2;2;42;7;;2;2;2;2;1;2;880000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;;4;8;;2;;2;;;;2;2;1;0;36;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;11;15;8;1;880000;01;0123;9211
20241044;10;2024;7981559;1;1;1;60;;1;683.90282811;66;1;123;2;;;;;;;;;;;;400;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;;840000;840000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;840000;1;;3;;3;1;12;60;;;60;;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;1;15;5;1;840000;01;0123;9211
20241044;10;2024;7981560;1;1;1;60;;1;237.15318919;66;1;1513;2;;;;;;;;;;;;84;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;;300000;300000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;280000;1;;3;;3;2;12;20;2;;20;;;;1;1;;2;;2;;;;2;2;1;2;6;3;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;14;;5;1;280000;15;1513;7331
20241044;10;2024;7981560;1;2;1;60;;1;237.15318919;66;1;9700;1;1;;;1;;1;;2;2;2;2;14;3;;2;2;2;2;1;2;500000;2;;2;;;1;200000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;30;2;;30;;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;10;5;1;700000;97;9700;9111
20241044;10;2024;7981560;1;3;1;60;;1;237.15318919;66;1;4111;1;1;;;1;;2;;2;2;2;2;1;1;;9;9;9;9;1;2;1200000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;50;;;50;;;;2;9;;2;;2;;;;2;2;1;0;3;1;;1;;2;;;;;;2;;;;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;1;3;15;5;1;1200000;41;4111;9313
20241044;10;2024;7981561;1;1;1;60;;1;350.95535509;66;1;8121;2;;;;;;;;;;;;480;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;;800000;800000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;100000;1;;3;;10;2;12;40;;;40;;;;1;2;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;2;2;2;2;3;10;5;1;100000;81;8121;9111
20241044;10;2024;7981562;1;3;1;60;;1;684.67247966;66;1;9499;1;2;2;4;1;;1;;2;2;2;2;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;3;3;1;;3640000;3640000;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;2800000;1;;1;;1;1;4;40;;;40;;;;10;7;;1;;1;1;2;13;1;2;1;9;12;4;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;2;2;1;2800000;94;9499;4110
20241044;10;2024;7981563;1;1;1;60;;1;187.10803086;66;1;4111;1;1;;;1;;1;;2;2;2;2;3;1;;9;9;9;9;1;2;360000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;40;;;30;6;;2;2;2;;11;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;1;2;1;2;1;2;2;1;1;2;1;1;2;2;1;2;2;1;11;15;8;1;360000;41;4111;9313
20241044;10;2024;7981563;1;2;1;60;;1;187.10803086;66;1;5611;2;;;;;;;;;;;;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;20;1;;20;;;;2;7;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;1;2;1;2;1;2;2;2;2;2;1;1;1;2;2;2;2;1;3;10;8;1;;56;5611;5131
20241044;10;2024;7981564;1;1;1;60;;1;240.39107479;66;1;5619;2;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;144000;4;0;80000;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;64000;4;;3;;3;2;4;30;2;;30;;;;1;1;;2;;2;;;;2;2;1;8;4;3;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;14;;3;1;64000;56;5619;5212
20241044;10;2024;7981565;1;1;1;60;;1;142.38939753;66;1;8730;1;2;2;12;1;;2;;2;2;2;2;12;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;1;1;1;;1762000;1762000;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;1300000;1;;2;;1;1;12;54;;;54;;;;4;7;;1;;1;1;2;9;1;2;1;12;6;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;3;60;8;1;1300000;87;8730;5120
