PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20240939;09;2024;7953223;1;1;1;70;;1;901.41871242;44;1;;;;;1;;24;600000;1;0;3;3;4;1;2;2;;1;240000;.;5221;56;5630;
20240939;09;2024;7953223;1;3;1;70;;1;901.41871242;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240939;09;2024;7953229;1;1;1;70;;1;658.99080771;44;1;;;;;;;;;1;36;0;4;4;1;2;2;;2;;.;9111;81;8121;
20240939;09;2024;7953229;1;2;1;70;;1;658.99080771;44;;1;1;7;4;;;40;1000000;1;2;1;7;4;3;2;2;;2;;5131;5131;56;5630;
20240939;09;2024;7953234;1;1;1;70;;1;856.55482892;44;1;;;;;;;;;1;240;0;8;4;1;2;2;;2;;.;9111;81;8121;
20240939;09;2024;7953234;1;3;1;70;;1;856.55482892;44;;1;1;4;1;;;48;1300000;1;4;2;7;1;2;2;2;;2;;5321;5164;96;9609;
20240939;09;2024;7953236;1;1;1;70;;1;676.68752455;44;1;;;;;1;;30;1300000;1;72;0;3;1;3;2;2;;2;;.;5223;47;4772;
20240939;09;2024;7953237;1;2;1;70;;1;737.43566298;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240939;09;2024;7953240;1;2;1;70;;2;1441.736835;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240939;09;2024;7953242;1;2;1;70;;2;1466.0926735;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240939;09;2024;7953244;1;1;1;70;;2;1080.1789364;44;1;;;;;;;;;1;24;2;3;4;1;2;2;;2;;.;7332;15;1513;
20240939;09;2024;7953245;1;2;1;70;;2;1295.5418556;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240939;09;2024;7953246;1;2;1;70;;2;1332.3683021;44;1;;;;;;;;;1;12;2;3;4;1;2;2;;2;;.;7332;15;1513;
20240939;09;2024;7953247;1;1;1;70;;2;1014.5667619;44;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240939;09;2024;7953248;1;1;1;70;;1;1226.1427729;70;1;;;;;;;;;1;2;0;4;4;1;2;2;;2;;.;9411;56;5619;
20240939;09;2024;7953248;1;3;1;70;;1;1226.1427729;70;1;;;;;;;;;1;48;0;2;4;1;2;2;;2;;.;9411;56;5619;
20240939;09;2024;7953249;1;2;1;70;;1;1114.4097221;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240939;09;2024;7953250;1;2;1;70;;1;1251.9693388;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240939;09;2024;7953251;1;2;1;70;;1;1155.215526;70;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240939;09;2024;7953252;1;1;1;70;;1;993.47789995;70;1;;;;;;;;;1;60;0;4;4;1;2;2;;2;;.;6222;03;0311;
20240939;09;2024;7953253;1;1;1;70;;1;993.47789995;70;1;;;;;;;;;1;24;0;5;2;8;2;3;;2;;.;2330;85;8530;
20240939;09;2024;7953261;1;1;1;70;;1;806.42044873;52;1;;;;;;;;;1;120;0;8;1;4;2;2;;1;80000;.;5246;10;1081;
20240939;09;2024;7953264;1;1;1;70;;1;1420.1386967;52;1;;;;;;;;;1;2;0;3;3;1;2;2;;2;;.;9111;97;9700;
20240939;09;2024;7953264;1;2;1;70;;1;1420.1386967;52;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
